rev_Mean,mou_Mean,totmrc_Mean,da_Mean,ovrmou_Mean,ovrrev_Mean,vceovr_Mean,datovr_Mean,roam_Mean,rev_Range,mou_Range,totmrc_Range,da_Range,ovrmou_Range,ovrrev_Range,vceovr_Range,datovr_Range,roam_Range,change_mou,change_rev,drop_vce_Mean,drop_dat_Mean,blck_vce_Mean,blck_dat_Mean,unan_vce_Mean,unan_dat_Mean,plcd_vce_Mean,plcd_dat_Mean,recv_vce_Mean,recv_sms_Mean,comp_vce_Mean,comp_dat_Mean,custcare_Mean,ccrndmou_Mean,cc_mou_Mean,inonemin_Mean,threeway_Mean,mou_cvce_Mean,mou_cdat_Mean,mou_rvce_Mean,owylis_vce_Mean,mouowylisv_Mean,iwylis_vce_Mean,mouiwylisv_Mean,peak_vce_Mean,peak_dat_Mean,mou_peav_Mean,mou_pead_Mean,opk_vce_Mean,opk_dat_Mean,mou_opkv_Mean,mou_opkd_Mean,drop_blk_Mean,attempt_Mean,complete_Mean,callfwdv_Mean,callwait_Mean,drop_vce_Range,drop_dat_Range,blck_vce_Range,blck_dat_Range,unan_vce_Range,unan_dat_Range,plcd_vce_Range,plcd_dat_Range,recv_vce_Range,recv_sms_Range,comp_vce_Range,comp_dat_Range,custcare_Range,ccrndmou_Range,cc_mou_Range,inonemin_Range,threeway_Range,mou_cvce_Range,mou_cdat_Range,mou_rvce_Range,owylis_vce_Range,mouowylisv_Range,iwylis_vce_Range,mouiwylisv_Range,peak_vce_Range,peak_dat_Range,mou_peav_Range,mou_pead_Range,opk_vce_Range,opk_dat_Range,mou_opkv_Range,mou_opkd_Range,drop_blk_Range,attempt_Range,complete_Range,callfwdv_Range,callwait_Range,churn,months,uniqsubs,actvsubs,crtcount,new_cell,crclscod,asl_flag,rmcalls,rmmou,rmrev,totcalls,totmou,totrev,adjrev,adjmou,adjqty,avgrev,avgmou,avgqty,avg3mou,avg3qty,avg3rev,avg6mou,avg6qty,avg6rev,REF_QTY,tot_ret,tot_acpt,prizm_social_one,div_type,csa,area,dualband,refurb_new,hnd_price,pre_hnd_price,phones,last_swap,models,hnd_webcap,truck,mtrcycle,rv,occu1,ownrent,lor,dwlltype,marital,mailordr,age1,age2,wrkwoman,mailresp,children,adults,infobase,income,numbcars,cartype,HHstatin,mailflag,solflag,dwllsize,forgntvl,educ1,proptype,pcowner,ethnic,kid0_2,kid3_5,kid6_10,kid11_15,kid16_17,creditcd,car_buy,retdays,eqpdays,Customer_ID
62.1275,97.5,65.985,2.475,0,0,0,0,0,30.26,217,23.98,5.94,0,0,0,0,0,23.5,6.8225,0,0,0.333333333,0,4,0,19.33333333,0.333333333,0,0,15,0.333333333,4,98.66666667,96.92,0,0,136.4933333,0.056666667,0,3.666666667,15.36666667,0,0,7.666666667,0.333333333,66.07333333,0.056666667,7.333333333,0,70.42,0,0.333333333,19.66666667,15.33333333,0,0,0,0,1,0,3,0,10,1,0,0,12,1,6,148,145.38,0,0,113.93,0.17,0,5,10.36,0,0,14,1,26.18,0.17,2,0,87.75,0,1,11,13,0,0,0,59,2,2,,Y,A,N,,,,2392,6868.11,3290.73,3195.01,6620.11,2312,56.05,116.14,40.56,90,16,60,123,32,64,,,,C,LDD,OKCOKC405,DALLAS AREA,Y,N,79.98999023,29.98999023,3,9/24/2000,3,WCMB,0,0,0,1,O,15,S,S,B,46,46,,R,Y,5,M,6,,,C,,,A,0,,A,,N,Y,U,U,U,U,Y,UNKNOWN,,464,1000011
35.295,24.25,34.98,0,0,0,0,0,0,0.63,39,0,0,0,0,0,0,0,19.75,-0.315,0,0,0,0,1,0,9,0,3,0,8,0,0,0,0,2.333333333,0,5.533333333,0,2.386666667,4,2.926666667,1.666666667,1.516666667,9.333333333,0,7.17,0,1.666666667,0,0.75,0,0,9,8,0,0,0,0,0,0,2,0,11,0,0,0,12,0,0,0,0,1,0,8.76,0,1.84,5,4.07,1,1.87,9,0,7.92,0,4,0,1.68,0,0,11,12,0,0,0,53,3,3,,Y,A,N,,,,3207,5579.136667,3104.16,2796.06,5358.14,3087,54.82,105.06,60.53,18,13,36,36,26,36,,,,C,,SANMCA210,CENTRAL/SOUTH TEXAS AREA,N,N,79.98999023,79.98999023,4,1/19/2000,3,WC,0,0,0,,O,4,S,A,,36,34,,,Y,3,M,9,,,,,,A,0,,A,,N,U,U,Y,Y,U,Y,New,,544,1000012
81,1056.25,75,0,0,0,0,0,0,5.75,233,0,0,0,0,0,0,0,42.75,2.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,1,1,1,Y,BA,N,,,,31584,51857.07,4270.87,4181.91,51553.07,31397,78.9,972.7,592.4,1042,625,80,999,625,76,,,,U,,PITHOM412,GREAT LAKES AREA,Y,N,199.9899902,29.98999023,9,8/24/2000,5,WCMB,0,0,0,2,O,15,S,S,,46,68,,,,3,M,5,,,B,,,A,0,,A,Y,J,U,U,U,U,U,Y,New,,388,1000013
25.225,2.5,25,0,0,0,0,0,0,0.45,8,0,0,0,0,0,0,0,-2.5,-0.225,0,0,0,0,0.333333333,0,1.333333333,0,0.333333333,0,1,0,0,0,0,0,0,1.306666667,0,1.133333333,0.333333333,0.023333333,0,0,0.666666667,0,2.2,0,0.666666667,0,0.24,0,0,1.333333333,1,0,0,0,0,0,0,1,0,4,0,1,0,3,0,0,0,0,0,0,3.92,0,3.4,1,0.07,0,0,1,0,3.4,0,2,0,0.72,0,0,4,3,0,0,0,53,2,2,,Y,A,N,,,,400,642,1370.94,1323.62,613,385,25.95,12.02,7.55,3,2,25,4,3,25,,,,C,,SANMCA210,CENTRAL/SOUTH TEXAS AREA,Y,N,59.98999023,29.98999023,2,7/27/2000,2,WCMB,1,0,0,,,1,S,U,,0,0,,,,1,M,7,,B,A,,,A,0,,,,N,U,U,U,U,U,N,New,,354,1000014
212.515,1971.5,84.99,2.2275,249.5,99.8,99.8,0,35.4975,283.17,658,0,2.97,701,280.4,280.4,0,74.02,-200.5,-106.765,9,0,0,0,43.66666667,0,344.6666667,0,271.3333333,0,296,0,0.333333333,3.333333333,3.316666667,126.3333333,0,581.2966667,0,718.07,49.33333333,35.16333333,4.666666667,9.263333333,351.6666667,0,864.1733333,0,128.6666667,0,435.1933333,0,9,344.6666667,296,0,1,0,0,0,0,23,0,125,0,124,0,102,0,1,10,9.95,76,0,112.88,0,210.27,28,28.06,4,10.22,137,0,215.59,0,38,0,107.56,0,0,125,102,0,0,0,59,5,1,1,Y,C,N,15,29,10.35,33184,69161.08333,6616.72,6572.7,69104.08,33139,115.31,1212.35,581.39,2038,637,248,1817,576,182,,,,S,,SLCSLC801,NORTHWEST/ROCKY MOUNTAIN AREA,Y,N,149.9899902,79.98999023,10,6/16/2001,6,WCMB,0,0,0,,O,11,S,S,,30,22,,R,Y,3,M,3,2,,I,,,A,0,1,A,Y,N,U,U,Y,U,U,Y,UNKNOWN,,199,1000015
42.565,270.5,37.48,0.2475,6,1.5,1.5,0,0,5.46,369,0,0.99,24,6,6,0,0,201.5,-1.785,3.333333333,0,1.666666667,0,7.666666667,0,67.66666667,0,25.33333333,0,55.33333333,0,1,1.666666667,1.026666667,11.66666667,0,117.8466667,0,57.09333333,11,10.81,3.666666667,4,62.33333333,0,136.7966667,0,18,0,38.14333333,0,5,67.66666667,55.33333333,0,0.333333333,6,0,3,0,7,0,89,0,22,0,74,0,3,5,3.08,14,0,203.11,0,59.04,14,10.61,3,1.39,70,0,194.12,0,26,0,68.03,0,8,89,74,0,1,0,55,2,2,1,N,B,N,,,,7586,15226.03,2311.08,2303.38,15180.03,7560,43.46,286.42,142.64,203,106,43,222,115,41,,,,S,,OKCOKC405,DALLAS AREA,Y,N,79.98999023,29.98999023,5,10/20/1999,4,WCMB,0,0,0,,O,4,M,U,,58,58,Y,,Y,3,M,1,,,,,,,0,,,,N,U,Y,U,U,U,Y,UNKNOWN,,697,1000016
63.0175,440.25,59.98,0,5.75,1.725,1.725,0,1.3125,8.9,89,0,0,23,6.9,6.9,0,3.25,-16.25,0.2125,5,0,0,0,17.33333333,0,138.3333333,0,53,0,118,0,3.666666667,10.66666667,8.27,22,0.333333333,225.0533333,0,93.87666667,0,0,0,0,141.3333333,0,268.56,0,14.33333333,0,50.37,0,5,138.3333333,118,0,1.666666667,2,0,0,0,22,0,59,0,12,0,44,0,3,20,17.59,2,1,108.66,0,10.74,0,0,0,0,29,0,70.52,0,15,0,61.9,0,2,59,44,0,2,0,57,1,1,,N,B,N,0,0,9.99,4078,11330,1739.43,1722.98,11316,4067,50.68,332.82,119.62,446,193,63,429,183,64,,,,T,,SLCSLC801,NORTHWEST/ROCKY MOUNTAIN AREA,N,N,29.98999023,29.98999023,3,5/20/2000,2,WCMB,0,0,0,,O,3,S,U,B,99,0,,R,,2,M,3,1,,C,,,A,0,,,,N,U,U,U,U,U,Y,UNKNOWN,,530,1000017
35.59,153,29.99,0,16,5.6,5.6,0,0,12.95,58,0,0,37,12.95,12.95,0,0,30,7.35,2,0,0.666666667,0,17.33333333,0,53,0,26,0,33.33333333,0,0,0,0,14.66666667,0,50.13333333,0,33.10666667,8,10.94666667,4.666666667,5.253333333,48.33333333,0,77.15333333,0,7,0,6.086666667,0,2.666666667,53,33.33333333,0,0.333333333,0,0,2,0,5,0,3,0,15,0,1,0,0,0,0,11,0,9.44,0,0.07,3,9.17,2,6.13,13,0,1.61,0,6,0,7.9,0,2,3,1,0,1,0,59,3,2,1,N,A,N,,,,7043,12661,2036.85,2013.28,12657,7041,36.61,230.13,128.02,143,76,33,135,73,32,,,,U,,SLCSLC801,NORTHWEST/ROCKY MOUNTAIN AREA,N,N,79.98999023,199.9899902,6,11/14/2001,5,WC,1,0,1,,O,7,S,S,B,46,0,,R,Y,5,M,4,,B,C,N,,A,0,,,,N,U,U,U,U,Y,Y,UNKNOWN,,48,1000018
55.27,1212.75,49.99,0.7425,0,0,0,0,1.285,5.07,311,0,1.98,0,0,0,0,2.73,169.25,0.99,2.666666667,0,6,0,43.66666667,0,225,0,121.6666667,0,173.6666667,0,4.333333333,9.666666667,7.5,43,0,456.98,0,490.1266667,50.66666667,50.00666667,8.333333333,18.40666667,189.3333333,0,593.0866667,0,105,0,354.02,0,8.666666667,225,173.6666667,0,4.333333333,7,0,3,0,46,0,208,0,86,0,155,0,5,11,9.83,47,0,208.52,0,63.34,61,66.36,13,35.52,119,0,126.98,0,119,0,346.16,0,10,208,155,0,6,0,52,1,1,,N,A,N,,,,8468,23835,1935.97,1914.23,23524,8378,47.86,588.1,209.45,1156,254,55,1031,248,55,,,,S,LDD,OKCTUL918,DALLAS AREA,Y,N,29.98999023,9.989997864,4,06/03/2000,4,WC,0,0,0,,O,10,S,B,B,58,0,,R,,1,M,3,1,,C,,,A,0,,,,N,U,U,U,U,U,Y,UNKNOWN,,408,1000019
50.965,162,69.99,0,2.5,0.975,0,0.975,0,3.9,88,0,0,10,3.9,0,3.9,0,-58,-0.975,1.666666667,0,0.333333333,0,9,0,60.66666667,1.333333333,14,0,50,1.333333333,0.333333333,0.333333333,0.276666667,7,0,65.24666667,2.373333333,38.37333333,34.33333333,17.40666667,5.666666667,11.69,19.33333333,0,37.26666667,0,42.33333333,1.333333333,66.35333333,2.373333333,2,62,51.33333333,0,0,3,0,1,0,12,0,21,4,13,0,15,4,1,1,0.83,8,0,53.45,7.12,34.12,16,17.95,5,8.45,15,0,31.58,0,6,4,27.61,7.12,4,25,19,0,0,0,56,1,1,,Y,B,N,,,,1319,4531.016667,1348.33,1276,4504.02,1306,42.53,150.13,43.53,181,63,51,240,62,51,,,,U,,MILMIL414,CHICAGO AREA,Y,N,129.9899902,9.989997864,4,2/21/2001,3,WCMB,0,0,0,,R,15,S,S,B,30,30,Y,R,Y,4,M,1,2,E,C,,,A,0,1,,Y,S,U,U,Y,Y,Y,N,UNKNOWN,,253,1000020
172.44,1978,99.99,0,362.25,72.45,72.45,0,0,191.8,1797,0,0,959,191.8,191.8,0,0,-1007,-72.45,7.333333333,0,18,0,114.3333333,0,760.3333333,0,157.6666667,0,622,0,0.333333333,1,0.94,69,0.666666667,1397.513333,0,515.2333333,22.66666667,22.08666667,2.666666667,8.476666667,718,0,1797.173333,0,60.33333333,0,115.5766667,0,25.33333333,760.3333333,622,0,20.33333333,7,0,3,0,43,0,49,0,17,0,3,0,1,3,2.82,9,1,224.69,0,10.97,17,18.89,8,25.43,6,0,243.71,0,13,0,8.06,0,4,49,3,0,1,1,58,2,1,,U,A,N,,,,28477,79406.01667,6751.7,6472.05,78927.02,28359,115.57,1409.41,506.41,2314,862,197,2192,810,163,,1,0,U,LDD,LOULOU502,TENNESSEE AREA,Y,N,149.9899902,149.9899902,4,08/11/2001,3,WCMB,1,0,1,3,O,7,S,U,B,48,32,Y,R,,2,M,6,1,B,C,,,A,0,1,,,Z,U,U,U,U,U,Y,New,5,143,1000021
60.185,1424.5,56.25,0.2475,0,0,0,0,0,74.24,1698,75,0.99,0,0,0,0,0,-1134.5,-55.185,23.66666667,0,0,0,11.66666667,0,47.33333333,0,646,0,33.33333333,0,0.333333333,0.666666667,0.593333333,285.3333333,0,44.04,0,939.3466667,7.666666667,11.76666667,39,58.91333333,459.6666667,0,692.0166667,0,174.6666667,0,291.3733333,0,23.66666667,47.33333333,33.33333333,0,5.666666667,11,0,0,0,1,0,30,0,628,0,27,0,1,2,1.78,322,0,32.36,0,899.24,8,7.78,44,58.96,470,0,656.47,0,144,0,264.5,0,11,30,27,0,11,1,54,1,1,1,U,D,N,,,,79038,117808.04,6005.39,5935.58,117230.04,78664,114.15,2254.42,1512.77,1803,1290,78,1720,1226,91,,1,0,S,,SEAPOR503,NORTHWEST/ROCKY MOUNTAIN AREA,N,N,129.9899902,129.9899902,13,04/07/2001,6,WCMB,1,0,1,,,13,M,A,B,50,52,,R,,3,M,5,3,B,C,,,J,0,,,,U,U,U,U,U,U,Y,UNKNOWN,8,162,1000022
244.0975,1771.5,99.99,6.1875,546.25,136.5625,136.5625,0,0.39,139.49,677,0,2.97,578,144.5,144.5,0,0.78,397.5,82.1325,28.66666667,0,1.333333333,0,31,0,323.6666667,0,276.3333333,0,276.3333333,0,0,0,0,134.3333333,0,591.74,0,680.1266667,71,109.3333333,29.66666667,167.88,435.6666667,0,1181.4,0,36.33333333,0,90.46666667,0,30,323.6666667,276.3333333,0,11.33333333,25,0,4,0,16,0,139,0,83,0,108,0,0,0,0,37,0,234.24,0,248.85,26,32.68,50,264.81,152,0,396.17,0,32,0,58.34,0,29,139,108,0,22,1,52,1,1,1,N,A,N,,,,27530,64174.80667,7419.73,7341.87,63886.81,27398,143.96,1252.68,537.22,1639,601,217,1393,519,163,,,,T,LDD,SEAPOR503,NORTHWEST/ROCKY MOUNTAIN AREA,Y,N,149.9899902,149.9899902,8,7/31/2000,6,WCMB,0,0,0,,,,,U,,0,0,,,,,,,,,,,,,0,,,,J,U,U,U,U,U,N,UNKNOWN,,350,1000023
30.205,360,29.99,0,0.25,0.065,0.065,0,0,0.6,240,0,0,1,0.26,0.26,0,0,-105,-0.215,8.666666667,0,2.333333333,0,19.33333333,0,95.66666667,0,75,0,68.33333333,0,0,0,0,36.66666667,0,103.79,0,160.8566667,34.33333333,33.68,15,29.63333333,71.33333333,0,129.32,0,62.33333333,0,135.33,0,11,95.66666667,68.33333333,0,0.333333333,12,0,7,0,12,0,10,0,14,0,17,0,0,0,0,19,0,58.11,0,6.03,4,13.12,12,23.02,26,0,50.96,0,8,0,55.18,0,19,10,17,0,1,1,54,1,1,,Y,G,N,,,,5145,10451.09667,1122.8,1089.25,10356.1,5084,29.44,279.89,137.41,395,187,30,486,192,33,,,,U,,SLCSLC801,NORTHWEST/ROCKY MOUNTAIN AREA,Y,N,79.98999023,29.98999023,4,12/04/1999,3,WCMB,1,0,1,2,O,15,S,M,B,54,52,,R,N,4,M,5,1,C,,,,A,0,1,A,Y,N,U,U,U,U,U,Y,New,,652,1000024
